frag_cat;area;site;plot;disp_mode;seed_size_cat;habit;origen;id;id_real;abund;yr
Small;2,9;P1;Q1;zoo;M;tree;nd;1;71;40;2006
Small;2,9;P1;Q1;zoo;P;und-tree;nd;3;65;1;2006
Small;2,9;P1;Q1;abio;P;tree;nd;5;60;38;2006
Small;2,9;P1;Q1;zoo;G;tree;nd;6;18;5;2006
Small;2,9;P1;Q1;abio;M;tree;d;7;31;20;2006
Small;2,9;P1;Q1;zoo;M;tree;nd;9;13;0;2006
Small;2,9;P1;Q1;zoo;G;tree;nd;16;38;5;2006
Small;2,9;P1;Q1;zoo;M;tree;nd;59;91;1;2006
Small;2,9;P1;Q1;zoo;P;tree;nd;65;100;114;2006
Small;2,9;P1;Q1;zoo;G;tree;d;73;51;0;2006
Small;2,9;P1;Q1;zoo;M;tree;d;79;7;3;2006
Small;2,9;P1;Q1;zoo;G;tree;nd;88;55;0;2006
Small;2,9;P1;Q1;zoo;G;tree;d;89;5;0;2006
Small;2,9;P1;Q2;zoo;M;tree;nd;1;71;40;2006
Small;2,9;P1;Q2;zoo;G;tree;d;2;42;2;2006
Small;2,9;P1;Q2;zoo;P;und-tree;nd;3;65;1;2006
Small;2,9;P1;Q2;zoo;M;und-tree;d;4;66;0;2006
Small;2,9;P1;Q2;zoo;G;tree;nd;6;18;0;2006
Small;2,9;P1;Q2;abio;M;tree;nd;7;31;23;2006
Small;2,9;P1;Q2;zoo;M;tree;nd;9;13;0;2006
Small;2,9;P1;Q2;zoo;M;und-tree;nd;12;6;2;2006
Small;2,9;P1;Q2;abio;M;tree;d;46;1;1;2006
Small;2,9;P1;Q2;zoo;M;tree;nd;59;91;3;2006
Small;2,9;P1;Q2;zoo;P;tree;nd;65;100;21;2006
Small;2,9;P1;Q2;zoo;G;tree;nd;73;51;0;2006
Small;2,9;P1;Q2;zoo;M;tree;d;79;7;1;2006
Small;2,9;P1;Q2;zoo;G;tree;d;88;55;0;2006
Small;2,9;P1;Q2;zoo;G;tree;d;89;5;0;2006
Small;2,9;P1;Q3;zoo;M;tree;nd;1;71;3;2006
Small;2,9;P1;Q3;zoo;G;tree;d;2;42;2;2006
Small;2,9;P1;Q3;zoo;P;und-tree;d;3;65;8;2006
Small;2,9;P1;Q3;zoo;G;tree;nd;6;18;0;2006
Small;2,9;P1;Q3;abio;M;tree;nd;7;31;187;2006
Small;2,9;P1;Q3;zoo;G;tree;nd;16;38;0;2006
Small;2,9;P1;Q3;abio;P;tree;d;45;87;1;2006
Small;2,9;P1;Q3;zoo;M;tree;d;59;91;16;2006
Small;2,9;P1;Q3;zoo;G;tree;d;73;51;0;2006
Small;2,9;P1;Q3;zoo;G;tree;d;88;55;0;2006
Small;2,9;P1;Q3;zoo;G;tree;d;89;5;0;2006
Small;2,9;P1;Q4;zoo;M;tree;nd;1;71;38;2006
Small;2,9;P1;Q4;zoo;G;tree;d;2;42;1;2006
Small;2,9;P1;Q4;zoo;P;und-tree;d;3;65;9;2006
Small;2,9;P1;Q4;abio;P;tree;d;5;60;26;2006
Small;2,9;P1;Q4;zoo;G;tree;nd;6;18;8;2006
Small;2,9;P1;Q4;abio;M;tree;nd;7;31;71;2006
Small;2,9;P1;Q4;zoo;M;tree;nd;13;21;2;2006
Small;2,9;P1;Q4;zoo;G;tree;d;16;38;0;2006
Small;2,9;P1;Q4;abio;M;tree;d;46;1;20;2006
Small;2,9;P1;Q4;zoo;M;tree;d;59;91;1;2006
